ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	B-FAM	B-FAM
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	I-FAM	I-FAM
、	*	*	、	補助記号	読点	*	*	*	*	O	O
あの	アノ	アノ	彼の	連体詞	*	*	*	*	*	O	O
よう	ヨー	ヨウ	様	形状詞	助動詞語幹	*	*	*	*	O	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	O	O
敗戦	ハイセン	ハイセン	敗戦	名詞	普通名詞	サ変可能	*	*	*	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	O	O
なっ	ナッ	ナル	成る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
金	キン	キン	金	名詞	普通名詞	一般	*	*	*	O	O
モール	モール	モール	モール-mall	名詞	普通名詞	一般	*	*	*	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	O	O
着る	キル	キル	着る	動詞	一般	*	*	上一段-カ行	連体形-一般	O	O
機会	キカイ	キカイ	機会	名詞	普通名詞	一般	*	*	*	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	O	O
もはや	モハヤ	モハヤ	最早	副詞	*	*	*	*	*	O	O
永久	エーキュー	エイキュウ	永久	名詞	普通名詞	一般	*	*	*	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	O	O
こ	コ	クル	来る	動詞	非自立可能	*	*	カ行変格	未然形-一般	O	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	O	O
。	*	*	。	補助記号	句点	*	*	*	*	O	O

ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	B-FAM	B-FAM
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	I-FAM	I-FAM
バブル	バブル	バブル	バブル-bubble	名詞	普通名詞	一般	*	*	*	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	O	O
崩壊	ホーカイ	ホウカイ	崩壊	名詞	普通名詞	サ変可能	*	*	*	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	O	O
伴う	トモナウ	トモナウ	伴う	動詞	一般	*	*	五段-ワア行	連体形-一般	O	O
不	フ	フ	不	接頭辞	*	*	*	*	*	O	O
景気	ケーキ	ケイキ	景気	名詞	普通名詞	一般	*	*	*	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	O	O
外遊び	ソトアソビ	ソトアソビ	外遊び	名詞	普通名詞	一般	*	*	*	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	O	O
出来	デキ	デキル	出来る	動詞	非自立可能	*	*	上一段-カ行	未然形-一般	O	O
なく	ナク	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	連用形-一般	O	O
なっ	ナッ	ナル	成る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	O	O
しまい	シマイ	シマウ	仕舞う	動詞	非自立可能	*	*	五段-ワア行	連用形-一般	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
その	ソノ	ソノ	其の	連体詞	*	*	*	*	*	O	O
分	ブン	ブン	分	名詞	普通名詞	副詞可能	*	*	*	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	O	O
奥	オク	オク	奥	名詞	普通名詞	一般	*	*	*	O	O
様	サマ	サマ	様	接尾辞	名詞的	一般	*	*	*	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	O	O
求め	モトメ	モトメル	求める	動詞	一般	*	*	下一段-マ行	連用形-一般	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	O	O
ん	ン	ノ	の	助詞	準体助詞	*	*	*	*	O	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	O	O
そう	ソー	ソウ	そう-伝聞	名詞	助動詞語幹	*	*	*	*	O	O
です	デス	デス	です	助動詞	*	*	*	助動詞-デス	終止形-一般	O	O
。	*	*	。	補助記号	句点	*	*	*	*	O	O

ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	B-FAM	B-FAM
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	I-FAM	O
調べ	シラベ	シラベル	調べる	動詞	一般	*	*	下一段-バ行	連用形-一般	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連体形-一般	O	O
うち	ウチ	ウチ	内	名詞	普通名詞	副詞可能	*	*	*	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
山本	ヤマモト	ヤマモト	ヤマモト	名詞	固有名詞	人名	姓	*	*	O	O
元帥	ゲンスイ	ゲンスイ	元帥	名詞	普通名詞	一般	*	*	*	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	O	O
自決	ジケツ	ジケツ	自決	名詞	普通名詞	サ変可能	*	*	*	O	O
説	セツ	セツ	説	名詞	普通名詞	一般	*	*	*	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
日本	ニッポン	ニッポン	日本	名詞	固有名詞	地名	国	*	*	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	O	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	O	O
流布	ルフ	ルフ	流布	名詞	普通名詞	サ変可能	*	*	*	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連体形-一般	O	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	O	O
知っ	シッ	シル	知る	動詞	一般	*	*	五段-ラ行	連用形-促音便	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	O	O
。	*	*	。	補助記号	句点	*	*	*	*	O	O

ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	B-FAM	B-FAM
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	I-FAM	I-FAM
先日	センジツ	センジツ	先日	名詞	普通名詞	副詞可能	*	*	*	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
目覚め	メザメ	メザメル	目覚める	動詞	一般	*	*	下一段-マ行	連用形-一般	O	O
たら	タラ	タ	た	助動詞	*	*	*	助動詞-タ	仮定形-一般	O	O
見	ミ	ミル	見る	動詞	非自立可能	*	*	上一段-マ行	連用形-一般	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	O	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	O	O
ない	ナイ	ナイ	無い	形容詞	非自立可能	*	*	形容詞	連体形-一般	O	O
ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	O	O
。	*	*	。	補助記号	句点	*	*	*	*	O	O

正直	ショージキ	ショウジキ	正直	名詞	普通名詞	形状詞可能	*	*	*	O	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	O	O
ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
私	ワタクシ	ワタクシ	私-代名詞	代名詞	*	*	*	*	*	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
現行	ゲンコー	ゲンコウ	現行	名詞	普通名詞	一般	*	*	*	O	O
宗教	シューキョー	シュウキョウ	宗教	名詞	普通名詞	一般	*	*	*	O	O
法人	ホージン	ホウジン	法人	名詞	普通名詞	一般	*	*	*	O	O
法	ホー	ホウ	法	名詞	普通名詞	一般	*	*	*	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
憲法	ケンポー	ケンポウ	憲法	名詞	普通名詞	一般	*	*	*	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	O	O
精神	セーシン	セイシン	精神	名詞	普通名詞	一般	*	*	*	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	O	O
踏まえ	フマエ	フマエル	踏まえる	動詞	一般	*	*	下一段-ア行	連用形-一般	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	B-C	O
よく	ヨク	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	連用形-一般	I-C	O
でき	デキ	デキル	出来る	動詞	非自立可能	*	*	上一段-カ行	連用形-一般	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	O	O
思う	オモウ	オモウ	思う	動詞	一般	*	*	五段-ワア行	終止形-一般	O	O
。	*	*	。	補助記号	句点	*	*	*	*	O	O

見る	ミル	ミル	見る	動詞	非自立可能	*	*	上一段-マ行	連体形-一般	O	O
者	モノ	モノ	者	名詞	普通名詞	一般	*	*	*	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	O	O
忘れ	ワスレ	ワスレル	忘れる	動詞	非自立可能	*	*	下一段-ラ行	連用形-一般	O	O
難い	ガタイ	ガタイ	難い	接尾辞	形容詞的	*	*	形容詞	連体形-一般	O	O
印象	インショー	インショウ	印象	名詞	普通名詞	一般	*	*	*	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	O	O
残す	ノコス	ノコス	残す	動詞	一般	*	*	五段-サ行	連体形-一般	O	O
優れ	スグレ	スグレル	優れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	O	O
心理	シンリ	シンリ	心理	名詞	普通名詞	一般	*	*	*	O	O
的	テキ	テキ	的	接尾辞	形状詞的	*	*	*	*	O	O
肖像	ショーゾー	ショウゾウ	肖像	名詞	普通名詞	一般	*	*	*	O	O
画	ガ	ガ	画	名詞	普通名詞	一般	*	*	*	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	O	O
言っ	イッ	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-促音便	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	B-FAM	O
よい	ヨイ	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	終止形-一般	I-FAM	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	O	O
あろう	アロー	アル	有る	動詞	非自立可能	*	*	五段-ラ行	意志推量形	O	O
。	*	*	。	補助記号	句点	*	*	*	*	O	O

その	ソノ	ソノ	其の	連体詞	*	*	*	*	*	O	O
うち	ウチ	ウチ	内	名詞	普通名詞	副詞可能	*	*	*	O	O
ノンフィクション	ノンフィクション	ノンフィクション	ノンフィクション-nonfiction	名詞	普通名詞	一般	*	*	*	O	O
クラブ	クラブ	クラブ	クラブ-club	名詞	普通名詞	一般	*	*	*	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	O	O
青地	アオジ	アオジ	青地	名詞	普通名詞	一般	*	*	*	O	O
晨	アシタ	アシタ	明日	名詞	普通名詞	副詞可能	*	*	*	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
村上	ムラカミ	ムラカミ	ムラカミ	名詞	固有名詞	人名	姓	*	*	O	O
兵衛	ヒョーエ	ヒョウエ	ヒョウエ	名詞	固有名詞	人名	名	*	*	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
丸山	マルヤマ	マルヤマ	マルヤマ	名詞	固有名詞	人名	姓	*	*	O	O
邦男	クニオ	クニオ	クニオ	名詞	固有名詞	人名	名	*	*	O	O
さん	サン	サン	さん	接尾辞	名詞的	一般	*	*	*	O	O
たち	タチ	タチ	達	接尾辞	名詞的	一般	*	*	*	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	O	O
使っ	ツカッ	ツカウ	使う	動詞	一般	*	*	五段-ワア行	連用形-促音便	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	B-FAM	O
いい	イー	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	終止形-一般	I-FAM	O
よ	ヨ	ヨ	よ	助詞	終助詞	*	*	*	*	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	O	O
、	*	*	、	補助記号	読点	*	*	*	*	O	O
開放	カイホー	カイホウ	開放	名詞	普通名詞	サ変可能	*	*	*	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	O	O
いっ	イッ	イク	行く	動詞	非自立可能	*	*	五段-カ行	連用形-促音便	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	O	O
ん	ン	ノ	の	助詞	準体助詞	*	*	*	*	O	O
です	デス	デス	です	助動詞	*	*	*	助動詞-デス	終止形-一般	O	O
よ	ヨ	ヨ	よ	助詞	終助詞	*	*	*	*	O	O
。	*	*	。	補助記号	句点	*	*	*	*	O	O

それ	ソレ	ソレ	其れ	代名詞	*	*	*	*	*	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	O	O
今	イマ	イマ	今	名詞	普通名詞	副詞可能	*	*	*	O	O
まで	マデ	マデ	まで	助詞	副助詞	*	*	*	*	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	O	O
違っ	チガッ	チガウ	違う	動詞	一般	*	*	五段-ワア行	連用形-促音便	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	O	O
落ち着い	オチツイ	オチツク	落ち着く	動詞	一般	*	*	五段-カ行	連用形-イ音便	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	O	O
