ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	2	1	B-A	B-A
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	2	I-A	I-A
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O	O
体感	タイカン	タイカン	体感	名詞	普通名詞	サ変可能	*	*	*	2	4	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	5	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	6	O	O
人	ヒト	ヒト	人	名詞	普通名詞	一般	*	*	*	2	7	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	8	O	O
よっ	ヨッ	ヨル	因る	動詞	一般	*	*	五段-ラ行	連用形-促音便	2	9	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	10	O	O
感じ	カンジ	カンズル	感ずる	動詞	一般	*	*	サ行変格	連用形-一般	2	11	O	O
方	カタ	カタ	方	接尾辞	名詞的	一般	*	*	*	2	12	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	13	O	O
違い	チガイ	チガウ	違う	動詞	一般	*	*	五段-ワア行	連用形-一般	2	14	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	15	O	O
大きな	オーキナ	オオキナ	大きな	連体詞	*	*	*	*	*	2	16	O	O
地震	ジシン	ジシン	地震	名詞	普通名詞	一般	*	*	*	2	17	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	18	O	O
たび	タビ	タビ	度	名詞	普通名詞	助数詞可能	*	*	*	2	19	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	20	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	21	O	O
震度	シンド	シンド	震度	名詞	普通名詞	一般	*	*	*	2	22	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	23	O	O
小さ	チーサ	チイサイ	小さい	形容詞	一般	*	*	形容詞	語幹-一般	2	24	O	O
すぎる	スギル	スギル	過ぎる	動詞	非自立可能	*	*	上一段-ガ行	終止形-一般	2	25	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	26	O	O
など	ナド	ナド	など	助詞	副助詞	*	*	*	*	2	27	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	28	O	O
同庁	ドーチョー	ドウチョウ	同庁	名詞	普通名詞	一般	*	*	*	2	29	O	O
発表	ハッピョー	ハッピョウ	発表	名詞	普通名詞	サ変可能	*	*	*	2	30	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	31	O	O
震度	シンド	シンド	震度	名詞	普通名詞	一般	*	*	*	2	32	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	33	O	O
対する	タイスル	タイスル	対する	動詞	一般	*	*	サ行変格	連体形-一般	2	34	O	O
不信	フシン	フシン	不信	名詞	普通名詞	一般	*	*	*	2	35	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	36	O	O
声	コエ	コエ	声	名詞	普通名詞	一般	*	*	*	2	37	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	38	O	O
出	デ	デル	出る	動詞	一般	*	*	下一段-ダ行	連用形-一般	2	39	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	40	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	41	O	O

ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	2	1	B-A	B-A
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	2	I-A	I-A
益軒	エキケン	エキケン	エキケン	名詞	固有名詞	人名	名	*	*	2	3	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	4	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	5	O	O
決して	ケッシテ	ケッシテ	決して	副詞	*	*	*	*	*	2	6	O	O
体力	タイリョク	タイリョク	体力	名詞	普通名詞	一般	*	*	*	2	7	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	8	O	O
