ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	2	1	B-A	B-A
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	2	I-A	I-A
物価	ブッカ	ブッカ	物価	名詞	普通名詞	一般	*	*	*	2	3	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	4	O	O
近年	キンネン	キンネン	近年	名詞	普通名詞	副詞可能	*	*	*	2	5	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	6	O	O
安定	アンテー	アンテイ	安定	名詞	普通名詞	サ変形状詞可能	*	*	*	2	7	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	8	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	9	O	O
き	キ	クル	来る	動詞	非自立可能	*	*	カ行変格	連用形-一般	2	10	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	11	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	12	O	O

ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	2	1	B-A	B-A
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	2	I-A	I-A
護憲	ゴケン	ゴケン	護憲	名詞	普通名詞	一般	*	*	*	2	3	O	O
派	ハ	ハ	派	接尾辞	名詞的	一般	*	*	*	2	4	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	5	O	O
こんな	コンナ	コンナ	こんな	連体詞	*	*	*	*	*	2	6	O	O
過去	カコ	カコ	過去	名詞	普通名詞	副詞可能	*	*	*	2	7	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	8	O	O
象徴	ショーチョー	ショウチョウ	象徴	名詞	普通名詞	サ変可能	*	*	*	2	9	O	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	2	10	O	O
よう	ヨー	ヨウ	様	形状詞	助動詞語幹	*	*	*	*	2	11	O	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	2	12	O	O
歌	ウタ	ウタ	歌	名詞	普通名詞	一般	*	*	*	2	13	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	14	O	O
持た	モタ	モツ	持つ	動詞	一般	*	*	五段-タ行	未然形-一般	2	15	O	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	2	16	O	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	2	17	O	O
ゆえ	ユエ	ユエ	故	名詞	普通名詞	副詞可能	*	*	*	2	18	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	19	O	O
むしろ	ムシロ	ムシロ	寧ろ	副詞	*	*	*	*	*	2	20	O	O
過去	カコ	カコ	過去	名詞	普通名詞	副詞可能	*	*	*	2	21	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	22	O	O
憲法	ケンポー	ケンポウ	憲法	名詞	普通名詞	一般	*	*	*	2	23	O	O
論議	ロンギ	ロンギ	論議	名詞	普通名詞	サ変可能	*	*	*	2	24	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	25	O	O
呪縛	ジュバク	ジュバク	呪縛	名詞	普通名詞	サ変可能	*	*	*	2	26	O	O
（	*	*	（	補助記号	括弧開	*	*	*	*	2	27	O	O
じゅ	ジュ	ジュ	ジュ	記号	一般	*	*	*	*	2	28	O	O
ば	バ	バ	バ	記号	一般	*	*	*	*	2	29	O	O
く	ク	ク	ク	記号	一般	*	*	*	*	2	30	O	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	2	31	O	O
から	カラ	カラ	から	助詞	格助詞	*	*	*	*	2	32	O	O
逃れ	ノガレ	ノガレル	逃れる	動詞	一般	*	*	下一段-ラ行	未然形-一般	2	33	O	O
られ	ラレ	ラレル	られる	助動詞	*	*	*	助動詞-レル	未然形-一般	2	34	O	O
